ARTISTID,ARTISTNAME,ARTISTHOTNESS
ARRH63Y1187FB47783,Kanye West,1.0825026
ARF8HTQ1187B9AE693,Daft Punk,1.0212556
ARTDQRC1187FB4EFD4,Black Eyed Peas,1.005942
ARS54I31187FB46721,Taylor Swift,0.92241246
ARJ7KF01187B98D717,Coldplay,0.91605324
ARKU3Z61187FB51DCA,Rihanna,0.90820265
ARTH9041187FB43E1F,Eminem,0.87923676
ARBS1OC1187FB44CAF,T.I.,0.8728389
ARS54I31187FB46721,Taylor Swift,0.87244725
ARPDVPJ1187B9ADBE9,Usher,0.8546378
ARXOTQH1187FB57084,Chris Brown,0.85218626
ARPDVPJ1187B9ADBE9,Usher,0.8512339
ARUDYKB11F4C83C269,Lil Wayne,0.8434308
ARF5M7Q1187FB501E8,Maroon 5,0.8433803
AR6XZ861187FB4CECD,The Beatles,0.8404627
ARX6TAQ11C8A415850,Lady GaGa,0.83844775
AR91C8S1187B990901,Bruce Springsteen,0.83809555
ARF2EHS1187B994F4E,Kings Of Leon,0.83771473
ARXOTQH1187FB57084,Chris Brown,0.8303568
ARVG4OK1187B9B6BD3,The Killers,0.8289063
ARCGJ6U1187FB4D01F,Akon,0.82677704
ARUJ5A41187FB3F5F1,U2,0.8256391
AR52EZT1187B9900BF,Alicia Keys,0.8216485
ARVG4OK1187B9B6BD3,Killers,0.8195883
ARLGIX31187B9AE9A0,R. Kelly & Jay Z,0.8156815
ARV3CRH1187B9A1B21,Green Day,0.8123078
ARXPPEY1187FB51DF4,Michael Jackson,0.80850214
ARTH9041187FB43E1F,Eminem,0.80483043
AR6PJ8R1187FB5AD70,Shakira,0.8042198
ARW7K0P1187B9B5B47,Barenaked Ladies,0.79427075
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.79424816
ARML3X41187FB35F2E,Jason Mraz,0.7934126
ARR3ONV1187B9A2F59,Muse,0.791501
ARQUMH41187B9AF699,Linkin Park,0.791143
ARF2EHS1187B994F4E,Kings Of Leon,0.78880596
ARZENOX1187B98A645,John Mayer,0.78813773
ARZENOX1187B98A645,John Mayer,0.7876794
ARKSZW81187B9B695D,Mariah Carey,0.7870055
ARLGIX31187B9AE9A0,Jay-Z,0.78141236
ART5MUE1187B98C961,Metallica,0.7803341
ARPAAHK1187B9ABB00,Nickelback,0.779968
ARQUMH41187B9AF699,Linkin Park,0.77911866
AR52EZT1187B9900BF,Alicia Keys,0.7786736
ARDVZTE1187FB5A0A1,Bon Jovi,0.7763033
AR633SY1187B9AC3B9,Weezer,0.77616775
ARFCUN31187B9AD578,The Rolling Stones,0.77603763
ARBAW9R1187B98FB6B,Natasha Bedingfield,0.7696743
ARXPPEY1187FB51DF4,Michael Jackson,0.7665455
ARKR75V1187FB3D4D5,My Chemical Romance,0.76607615
ARML3X41187FB35F2E,Jason Mraz,0.7553348
ARGVJPK1187B9909EA,Josh Groban,0.7551499
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.7529279
ARVXU2X1187B9AE6D8,Evanescence,0.75279444
ARR3ONV1187B9A2F59,Muse,0.75042653
ARUJ5A41187FB3F5F1,U2,0.7503115
ARDCFNZ1187FB3DDB0,Enrique Iglesias,0.7490624
ARZENOX1187B98A645,John Mayer,0.7403735
AR0S7TA1187FB4D024,Christina Aguilera,0.7378841
ARFCUN31187B9AD578,The Rolling Stones,0.7357657
ARH861H1187B9B799E,Johnny Cash,0.73520887
ART5MUE1187B98C961,Metallica,0.7261744
AR0S7TA1187FB4D024,Christina Aguilera,0.7257461
ARDVZTE1187FB5A0A1,Bon Jovi,0.71889144
AR6PJ8R1187FB5AD70,Shakira,0.7172099
ARM7EDF1187B9B3FA1,Guns N' Roses,0.71366984
ARKQQZA12086C116FC,B.o.B,0.71253496
ARUTEVU1187B9ACAF9,Lifehouse,0.7108791
ARVXU2X1187B9AE6D8,Evanescence,0.70575756
ARNNM56119B86686EA,Luke Bryan,0.70259476
ARNAIMI1187FB5733C,Rick Ross,0.70140475
ARZWK2R1187B98F09F,Rise Against,0.6961611
ARC8CQZ1187B98DECA,Jack Johnson,0.6941285
AR0WLH6119B8669027,Owl City,0.6935247
ARJGIOD1187B9AE920,Kelly Clarkson,0.6844788
ARH6W4X1187B99274F,Radiohead,0.68365806
AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,0.6822632
AR16GSC1187B9A6291,Eagles,0.68198776
ARC8CQZ1187B98DECA,Jack Johnson,0.6774825
ARRBF3M1187FB4D59F,30 Seconds To Mars,0.67708755
ARH6W4X1187B99274F,Radiohead,0.675887
AR190KO1187B9905EC,Sick Puppies,0.67511773
AR20CFC1187B98A25D,Ray Charles,0.6732073
ARN5NHX1187FB4F755,The Smashing Pumpkins,0.6703838
ARVNGA71187FB3C107,Faith Hill,0.6701062
ARVN9FZ1187FB393F1,SNOWPATROL,0.6672946
ARBEOHF1187B9B044D,Madonna,0.66557664
ARFWL8S1187B9B4B44,Céline Dion,0.66368645
AR9LJ9D1187FB4303D,Sean Kingston,0.6628763
ARH3S5S1187FB4F76B,Nirvana,0.6613829
AR4EQ231187B99368F,The Fray,0.66134936
AR4OU721187FB4549D,Paramore,0.6589248
ARQXC7V1187FB4DA9E,DAVE MATTHEWS BAND,0.65758383
ARBEOHF1187B9B044D,Madonna,0.6552838
ARVV61U1187FB4FC32,The Temper Trap,0.6549145
AR8V1WA1187B9AD9E9,The White Stripes,0.6538972
ARNLE621187B98ECB5,Mannheim Steamroller,0.65351295
ARQRQRA12131B4B5A8,Cake,0.6506659
ARN5NHX1187FB4F755,The Smashing Pumpkins,0.6472247
ARNLE621187B98ECB5,Mannheim Steamroller,0.64620733
ARAXU5Z1187B98FECD,Gorillaz,0.6458723
ARC8CQZ1187B98DECA,Jack Johnson,0.6430723
ARW1MUW1187FB4D5A1,3 Doors Down,0.64298224
ARIPLUN1187B99B9F9,The Police,0.64265597
AR6J3X81187FB59A7B,Margaret Becker,0.63979816
ARD4C1I1187FB4B0C3,Big One,0.63890636
ARQXC7V1187FB4DA9E,DAVE MATTHEWS BAND,0.638588
ARKZ13R1187FB54FEE,Josh Turner,0.63730234
ARDIBRT1187B9AF176,Led Zeppelin,0.6344124
ARH2QI91187FB3788D,David Guetta - Joachim Garraud - Chris Willis,0.6334098
AR5FP401187FB523C9,Bob Dylan,0.6333399
AR03BDP1187FB5B324,Britney Spears,0.6312895
AR16GSC1187B9A6291,Eagles,0.6295148
ARF3GX71187FB3EB66,Martina McBride,0.6282464
ARSF0K11187B9AF319,James Taylor,0.62822837
ARB054P1187B9AD32E,Santana,0.6277651
AR048JZ1187B9AEB85,Yellowcard,0.6274673
ARO4WQR1187B9B9825,Kenny Rogers,0.6254284
ARZWK2R1187B98F09F,Rise Against,0.62508047
ARIFGKC1187B9B04D5,Dean Martin,0.62397027
ARR6LWJ1187FB44C8B,R.E.M.,0.6238352
ARNZ70R1187B9A4824,Joe Satriani,0.62220895
ARW9FP41187B98C2A7,Annie Lennox,0.6210852
ARY53RR1187B9AE485,Avril Lavigne,0.6203098
ARVSQHB1187B992FF0,Drowning Pool,0.6200087
ARO4WQR1187B9B9825,Kenny Rogers,0.61999595
AR65K7A1187FB4DAA4,Beyoncé,0.61943144
AR46CAD1187FB4D84B,Bad Religion,0.61821914
ARIPLUN1187B99B9F9,The Police,0.61545444
ARR1R5V1187FB4D234,The All American Rejects,0.61497396
ARM7C1Q1187FB471C8,Bullet For My Valentine,0.6134432
AR65K7A1187FB4DAA4,Beyoncé,0.6120673
AR12F2S1187FB56EEF,Aerosmith,0.6111175
AR12F2S1187FB56EEF,Aerosmith,0.6107315
ARM7C1Q1187FB471C8,Bullet For My Valentine,0.60948116
AR9C8IE1187B9ACC99,System of a Down,0.6092621
ARW1MUW1187FB4D5A1,3 Doors Down,0.60884905
ARFVYJI1187B9B8E13,Pearl Jam,0.6079718
AR1ABAO1187FB531E1,Alice Cooper,0.60779274
AR03BDP1187FB5B324,Bob Sinclar,0.6072573
ARX9YIP1187B98A656,RUN-DMC,0.60663015
AR10USD1187B99F3F1,Silverstein,0.60550714
ARAXU5Z1187B98FECD,Gorillaz,0.6051912
ARH6W4X1187B99274F,Radiohead,0.6046669
ARL6FF81187FB5A916,Panic At The Disco,0.60465515
ARYJSY01187B9B7C65,Dolly Parton,0.6038765
AR01W2D1187FB5912F,3OH!3,0.60332453
ARNXNH81187FB52EB5,Baby Bash,0.60211545
ARXSABJ1187FB3C336,Deftones,0.60172975
AR4L4WQ1187FB51996,The Prodigy,0.6014365
ARSPUJF1187B9A14B8,Death Cab for Cutie,0.6014272
ARD39VZ1187B9B9A57,Lloyd Banks,0.60118735
AR13CXU1187B9AD30A,The Clash,0.60118604
ARR9XGB1187B9912E6,Boyz II Men,0.60118496
AR8RXRI1187FB4104B,The Roots,0.6002825
ARPBTRI1187FB52457,The Game,0.59985954
ARLSF8H1187B9A76B0,Dimmu Borgir,0.59960264
ARY53RR1187B9AE485,Avril Lavigne,0.59859675
AR0KBXO1187B996460,Slipknot,0.5985554
ARK9TRQ1187B99C095,Nine Inch Nails,0.5984585
ARSW5F51187FB4CFC9,Alice In Chains,0.5978672
ARWD25M1187FB4C563,Amy Winehouse,0.59677565
ARDQ9AP1187B9BA3F6,Killswitch Engage,0.5963503
ARNDL191187FB51583,Jimi Hendrix,0.5950694
ARJA1841187FB3A029,David Bowie,0.59473383
ARZQ7QA1187B9AD08B,Prince,0.59462786
ARSE5NP1187B9B98AB,Twista,0.59380835
AR74Q3R1187B9B24C3,Nightwish,0.59362435
AROBHK51187B9AD82B,Funeral For A Friend,0.5934731
AR3JMC51187B9AE49D,Backstreet Boys,0.59261495
ARMOHN71187FB3959F,Atreyu,0.5924395
AR9O98A1187FB39621,The Strokes,0.5917447
ARLHO5Z1187FB4C861,Beastie Boys,0.591628
AROBHK51187B9AD82B,Funeral For A Friend,0.5904493
ARCJKV91187FB46210,KT Tunstall,0.5898562
ARCE0H01187B9AF741,Rage Against The Machine,0.5890868
AR23C041187FB4D534,50 Cent,0.58865
AR9C8IE1187B9ACC99,System of a Down,0.5879167
ARNDL191187FB51583,Jimi Hendrix,0.58786917
AR9O98A1187FB39621,The Strokes,0.5871941
ARWX5TK1187FB4CDBE,The Who,0.58703965
ARMI8BW1187FB57B2E,Kiss,0.5867299
AR6892W1187B9AC71B,Placebo,0.58643335
ARN7POH1187B9B301E,Jessica Simpson,0.5860862
ARIRCA31187FB58E84,The Maine,0.5858676
AR9W3X91187FB3994C,Phil Collins,0.5848369
ARUGU0E1187B9B30F6,The Doors,0.5841166
ARWD25M1187FB4C563,Amy Winehouse,0.5837326
ARWK5QH1187B9A9B7F,Justin Timberlake,0.58353084
ARQATWU1187B98EE26,Ill Nino,0.58314705
ARYVO9V1187B9B1FC6,Franz Ferdinand,0.5830223
ARSW5F51187FB4CFC9,Alice In Chains,0.58292156
ART4QZC1187FB51612,Janet Jackson,0.5825753
ARA3I0J1187FB57869,Blink-182,0.5823464
ARR1R5V1187FB4D234,The All American Rejects,0.5822056
ARAN38V1187FB4C4EE,The Almost,0.5815058
AR74Q3R1187B9B24C3,Nightwish,0.5803453
ARF6ZTO1187FB3684F,Story Of The Year,0.58009505
ARAIABB1187B9AC6E2,Seal,0.58001316
ARNLO5S1187B9B80CC,Van Halen,0.57998896
AR1RMYB1187FB5A59E,Incubus,0.57944196
ARWA6NT1187FB3F15C,The Cure,0.57899356
AR040QX1187FB4CFE1,Alexisonfire,0.57893354
ARN7POH1187B9B301E,Jessica Simpson,0.5787908
AR9W3X91187FB3994C,Phil Collins,0.5783016
ARM0P6Z1187FB4D466,Arctic Monkeys,0.5770759
ARE8GLF1187FB52532,Red Hot Chili Peppers,0.5769038
AR11YQ81187FB3C654,Dixie Chicks,0.5769023
ARKZXSQ1187B9AC9F3,Joy Division,0.57629466
ARE8GLF1187FB52532,Red Hot Chili Peppers,0.576202
ARTAFV91187B9BA17C,Stone Temple Pilots,0.57619655
ARZ96PB1187B98F5C9,Jars Of Clay,0.5755012
ARJA1841187FB3A029,David Bowie,0.5749214
AR3MSAN1187B98F06B,OutKast,0.57449704
ARMQHX71187B9890D3,Mastodon,0.5742747
AR5OH2Z1187B9A46A9,Iggy Pop,0.5735545
AR1XA631187FB57662,Ruben Cossani,0.5726647
ARF0W6Z1187B9AC325,Cradle Of Filth,0.5725833
ARG9CID1187B9AB010,Taking Back Sunday,0.572374
AR2XI6G1187B9AE7DA,Fat Joe,0.57202786
ARYVO9V1187B9B1FC6,Franz Ferdinand,0.57137656
AROSI8L1187B9ACD43,Ice Cube,0.5702372
AR4YKRO1187B9B7829,The Red Jumpsuit Apparatus,0.57019204
ARAZCWP129462A97F1,Bob Marley,0.5701065
AROBSHL1187B9AFB01,A Day To Remember,0.56924
ARD2NDU1187B99B615,Dropkick Murphys,0.5684918
ARBEBBY1187B9B43DB,Tom Petty,0.5683505
ART4QZC1187FB51612,Janet Jackson,0.5682014
AR7C6G11187B9B4C1E,Jennifer Lopez,0.56788915
ARDF8K01187FB37200,Wolfmother,0.56697154
ARGKD4W1187B990E04,Brenda Lee,0.5669124
ARSG7NQ1187FB57482,Fall Out Boy,0.5666229
AR8B7SK1187FB5322E,Pat Green,0.5661384
AR8BUVM1187FB4D94D,Belle & Sebastian,0.56504565
ARN5L1O1187FB4D955,Eyes Set to Kill,0.56496924
ARCP94M1187B9B0F56,Every Time I Die,0.56485575
AR40GSU1187FB3AA01,Neil Diamond,0.564006
ARGO67V1187B9968D2,Saosin,0.56376374
ARGMGHN1187B9B4213,Gym Class Heroes,0.56340355
ARDT9VH1187B999C0B,Emery,0.5633669
ARHTHC01187B9B6D2A,Michael McDonald,0.5633627
ARUF32D1187B9B157E,Soilwork,0.5628811
AR9NA5G1187B98F460,The Raconteurs,0.56283474
ARBNXYA1187FB51C50,Daddy Yankee,0.5625067
AR966X21187B9AC463,Paul Simon,0.5624327
ARIZODP1187B9AD272,Bryan Ferry,0.5618305
AR7C6G11187B9B4C1E,Jennifer Lopez,0.56091267
ARHRY5S1187B99B96F,Static-X,0.56081975
AR4B3RX1187B9A868A,Alexandre Desplat,0.5603808
ARMRCET1187FB52049,Fergie,0.5602055
ARS86AJ1187B9B4225,Janis Joplin,0.55992585
ARMBTFC1187FB56343,Korn,0.55829835
AROSI8L1187B9ACD43,Ice Cube,0.55775565
ARQ05GM1187B990512,A Static Lullaby,0.5575625
ARJ45QE1187FB423B8,Ultimate Tracks,0.55740833
ARN6M7I1187FB4DEAF,A Skylit Drive,0.5569106
ARY55LO1187B9A3F17,Three 6 Mafia,0.5564774
ARAEX7Y1187FB42D36,Toni Braxton,0.5559688
ARNRPI31187B9AC699,The Crystal Method,0.55574167
AR7Y6JX1187FB4D9B3,Bad Brains,0.55541456
ARUZRFN1187B98AC05,Bone Thugs-N-Harmony,0.55513835
AR2FAMK1187FB4CF60,AFI,0.5549385
ARPFHN61187FB575F6,Lupe Fiasco,0.55463326
ARG8DXO1187B9AF743,Less Than Jake,0.5545643
AR06EB01187FB40150,NOFX,0.5542915
ARM0P6Z1187FB4D466,Arctic Monkeys,0.5536612
ARM9Q581187B98E984,Kinky,0.55359626
ARV8T9T1187B99F3F4,Amorphis,0.55356616
ARBUOOR1187B997391,Oasis,0.55339366
ARZJ4MI1187B9AF5AF,Reel Big Fish,0.5531689
ARIK43K1187B9AE54C,Lionel Richie,0.553072
AR6G4V01187B9AD086,Queens Of The Stone Age,0.55241334
AR9YWMS1187FB43A34,Dinosaur Jr,0.5515525
ARM7YQQ1187B9A84E7,Blondie,0.55141515
ARM6HLK1187FB427F0,Talib Kweli,0.55101645
ARA1UU51187FB5A70B,Misfits,0.550991
AR6XPWV1187B9ADAEB,Foo Fighters,0.55076206
AR1OBRC1187FB59AD4,Behemoth,0.55042285
AR9AWNF1187B9AB0B4,Kenny G,0.55021256
AR49IQD1187FB37EA7,Xzibit,0.55021226
ARYN2M61187B995BD6,Juanes,0.54976124
ARKCYJV1187FB392E9,Set Your Goals,0.5497497
AR2H1J41187FB5C640,Danny Elfman,0.549446
ARD3LXU1187B9ABFC5,Sex Pistols,0.5492044
ARXDQJB1187FB57154,Faithless,0.5485337
ARH9HS41187FB5BC6F,New Found Glory,0.5482282
ARA1UU51187FB5A70B,The Misfits,0.5482219
AR7Q0O91187FB4DBE7,Plies,0.54794043
ARHUC691187B9AD27F,The Mars Volta,0.5477641
ARJG2ID1187B9A767E,The Jam,0.5477463
ARO2U2Q119B86692A8,Fleet Foxes,0.54760903
ARQ76LG1187B9ACD84,Black Flag,0.54750675
ARRDRI71187FB46EAA,Band Of Horses,0.54724365
ARK3PWH1187B9A441D,Showbread,0.5467452
AR7GUNF1187B990CCF,Between The Buried And Me,0.54654515
ARPKATM1187B9B76E6,Hatebreed,0.54638374
ARUJZFJ1187B9B135F,Shania Twain,0.5463261
ARXBOZ01187FB38261,Howie Day,0.5460542
ART4EPR1187FB38772,Eno,0.5459755
AROF4LP1187FB41C51,Selena,0.5458659
AR5N8VN1187FB37A4E,Soundgarden,0.5457891
ARAKARO1187B9A1EB6,George Michael,0.5457307
ARLUF1T1187FB3603B,Ricardo Arjona,0.545572
AR5LZJD1187FB4C5E5,Britt Nicole,0.5444463
ARHU9211187B9B7E0E,Fort Minor,0.5444146
ARNHMFD1187FB3B3F6,LL Cool J,0.5443219
ART3O5Z1187B9AB043,Stevie Ray Vaughan,0.5442575
AR4FGSF1187FB528BE,Mat Kearney,0.5439582
AROY6XW1187B991121,Steve Vai,0.54395443
ARVZDOM1187B9B49C9,Barry Manilow,0.54370606
AR4WHYC1187B9896E7,A Tribe Called Quest,0.5436811
ARAPH9U1187B9B34F0,Randy Travis,0.5432255
ARZYPLF1187FB45B9B,Rooney,0.5426019
ARG3UX61187B9AC05A,D.O.W.N.,0.542534
ARA3VJJ1187FB3F5A6,Shelby Lynne,0.5425021
ARP7ILI1187B9AE9F7,Phantom Planet,0.5423951
AR4GAFY1187B9B639D,B.B. King,0.5422899
ARTYXQC1187B9ACAB2,Shaggy,0.5421752
ARF84A41187B9A34E7,Rancid,0.54205465
ARMAC4T1187FB3FA4C,Nora,0.54188895
AR2W4T81187FB410A7,David Gilmour Featuring Richard Wright,0.5416563
ARW9QSZ1187FB4B93E,George Harrison,0.5416025
AR2O3B51187B98CD94,Cece Winans,0.5408326
AR2UQQ51187B9AC816,Gipsy Kings,0.5406307
ARBUOOR1187B997391,Oasis,0.54021645
ARROQSO1187B9AEB80,Talking Heads,0.54015774
AR3FE581187FB3F90A,DJ Clue / Fabolous Sport,0.54000777
ARBCUNV1187B98A9FB,Busta Rhymes,0.5396443
AR050VJ1187B9B13A7,Dead Kennedys,0.5392454
ARLUAK21187B9B785A,Ziggy Marley And The Melody Makers,0.53849113
ARBGWMW1187B9AEA3E,Savage Garden,0.5380703
ARI7DOB1187FB37AA4,Bloc Party,0.5377996
ARBOG0H1187B99F775,MxPx,0.5376756
ARVML631187B99E90D,The B-52's,0.5375372
ARTSGR41187B9912C6,W.A.S.P.,0.5372672
AR58JT11187B9AF4CC,Carpenters,0.5372095
ARGNLJL1187B9AB503,Point Of Grace,0.5371063
ARLZLMN1187B9AD1CB,The Cars,0.537002
ARJCOPY1187FB5C315,K'Naan,0.53686225
ARUKN9H1187B9B71C8,The Black Crowes,0.5364
ARG53231187FB3982D,The Starting Line,0.5363512
ARIH5GU1187FB4C958,Silverchair,0.53622
ARWD3OC1187FB3A666,Cut Copy,0.5361735
AR38I491187B9B2F2D,Lil Boosie,0.53589106
ARWA8AH1187FB3FC84,Hot Chip,0.53576314
ARKZJ301187FB521B2,Lily Allen,0.5354084
ARQOATR1187B9AE959,Jane's Addiction,0.53516304
ARLHO5Z1187FB4C861,Beastie Boys,0.53450394
ARRXG5Y1187B9AA016,G Unit feat. 50 Cent,0.5344297
ARCHKD91187B9A0A42,The Ronettes,0.53388554
ARVBP9K1187FB48254,Cancer Bats,0.53384274
AR65OLD1187FB5C103,P.O.D.,0.53308535
